Dairy,Vegetables,Fruits,Grains & Cereals,Pulses & Lentils,Meat,Seafood,Bakery,Beverages,Snacks,Spices(Masalas) & Condiments,Frozen Foods,Canned & Packaged,Oils & Fats,Sweeteners,Personal Care,Household
milk,amaranth leaves,apple,amaranth,adzuki beans,alligator ,anchovy,bread,tea,chips,salt,frozen peas,canned beans,sunflower oil,sugar,soap,detergent
ayran,anise,apricot,barley,anasazi beans,antelope,abalone,buns,coffee,biscuits,pepper,frozen corn,canned corn,olive oil,jaggery,shampoo,dishwash liquid
beurre de baratte,artichoke,avocado,buckwheat,black beans,bacon ,barracuda ,cake,fruit juice,namkeen,turmeric,frozen nuggets,instant noodles,ghee,honey,toothpaste,floor cleaner
buttermilk,arugula,banana,bulgur,black-eyed peas,beef,basa ,cookies,soft drink,popcorn,chilli powder,frozen fries,pasta,butter,maple syrup,conditioner,toilet cleaner
camel milk,asparagus,blackberry,corn,cannellini beans,bison ,black cod ,pastry,energy drink,nachos,cumin,,soup,,caramel,face wash,tissues
casein,ash gourd,blueberry,einkorn,chickpeas (garbanzo beans),blood sausage ,bluefish ,croissant,milkshake,crackers,coriander,,sauce,,,body lotion,sponges
clotted cream,bamboo shoots,boysenberry,farro,cocoa beans,boar ,bream ,puffs,,muffins,garam masala,,maggi,,,powder,
cream cheese,banana blossom,breadfruit,fonio,coffee beans,bresaola ,butterfish,muffins,,cupcakes,chicken masala,,,,,,
cultured butter,basil,cantaloupe,freekeh,cranberry beans,buffalo ,catfish ,cupcakes,,chocolate,fish masala,,,,,,
dry milk (powdered),bean sprouts,cherimoya,kamut,fava beans,camel ,clam ,,,,oregano,,,,,,
evaporated milk,beet greens,cherry,kañiwa,edamame,capybara ,cod ,,,,chilli flakes,,,,,,
feta,beetroot,clementine,millet,fayot (flageolet) beans,carabeef (buffalo),crab ,,,,pizza mix,,,,,,
ghee,bell pepper,coconut,oats,french green bean,chicken ,crawfish ,,,,,,,,,,
goat milk,bitter gourd,cranberry,quinoa,gigante beans,chorizo ,cuttlefish,,,,,,,,,,
cheese,bok choy,custard apple,rice,great northern beans,corned beef ,dogfish ,,,,,,,,,,
ice cream,borage,date,rye,kidney beans,chevon (goat),dorade,,,,,,,,,,
kaymak,broccoli,dragon fruit,sorghum,lentils,deer (venison),eel,,,,,,,,,,
kefir,broccolini,durian,spelt,lima,duck,flounder ,,,,,,,,,,
